Team ID,Club Name,Series,Full Name,Email,Phone
nndz-WkNld3libjU%3D,Westmoreland,7,Westmoreland - 7,,
nndz-WkNTNXc3Mys%3D,Glen Ellyn,7,Glen Ellyn - 7 SW,,
nndz-WkNTNXc3bjU%3D,Hinsdale PC,7,Hinsdale PC - 7 SW,,
nndz-WkNTNXc3bis%3D,LaGrange CC,7,LaGrange CC - 7 SW,,
nndz-WkNTNXc3bjk%3D,Medinah,7,Medinah - 7 SW,,
nndz-WkNDOXhyejU%3D,River Forest PD,7,River Forest PD - 7 SW,,
nndz-WkNTNXc3cjU%3D,Ruth Lake,7,Ruth Lake - 7 SW,,
nndz-WkNld3hyeis%3D,Salt Creek I,7,Salt Creek I - 7 SW,,
nndz-WkNTNXc3anc%3D,Salt Creek II,7,Salt Creek II - 7 SW,,
nndz-WkMrL3dyZi8%3D,BYE,8,BYE - 8,,
nndz-WkNDOXhyejQ%3D,Knollwood,8,Knollwood - 8,,
nndz-WkM2OHhybi8%3D,Lake Bluff,8,Lake Bluff - 8,,
nndz-WkNLd3dMZis%3D,LifeSport-Lshire,8,LifeSport-Lshire - 8,,
nndz-WkNld3lMNzk%3D,Midtown - Chicago,8,Midtown - Chicago - 8,,
nndz-WkNTNXdMai8%3D,Skokie,8,Skokie - 8,,
nndz-WkNLd3dMZjQ%3D,South Barrington,8,South Barrington - 8,,
nndz-WkNld3lidjc%3D,Tennaqua,8,Tennaqua - 8,,
nndz-WkNld3lMM3g%3D,Wilmette PD,8,Wilmette PD - 8,,
nndz-WkNLd3dMZi8%3D,Winnetka,8,Winnetka - 8,,
nndz-WkNDOXg3Znc%3D,Bryn Mawr,9,Bryn Mawr - 9,,
nndz-WkNld3liM3c%3D,Indian Hill,9,Indian Hill - 9,,
nndz-WkNLd3c3NzU%3D,Lake Forest,9,Lake Forest - 9,,
nndz-WkMrL3dyZng%3D,Lifesport-Lshire,9,Lifesport-Lshire - 9,,
nndz-WkNld3lMMys%3D,Park Ridge CC,9,Park Ridge CC - 9,,
nndz-WkNld3lidjg%3D,Saddle &amp; Cycle,9,Saddle &amp; Cycle - 9,,
nndz-WkNld3lidi8%3D,Sunset Ridge,9,Sunset Ridge - 9,,
nndz-WkNld3liLzc%3D,Valley Lo,9,Valley Lo - 9,,
nndz-WkNld3libnc%3D,Westmoreland,9,Westmoreland - 9,,
nndz-WkMrL3hiNzU%3D,Winnetka I,9,Winnetka I - 9,,
nndz-WkNld3licis%3D,Winnetka II,9,Winnetka II - 9,,
nndz-WkNTNXdManc%3D,Winter Club,9,Winter Club - 9,,
nndz-WkNld3liMys%3D,Butterfield,9,Butterfield - 9 SW,,
nndz-WkNTNXc3My8%3D,Chicago Highlands,9,Chicago Highlands - 9 SW,,
nndz-WkNTNXc3ai8%3D,Glen Ellyn I,9,Glen Ellyn I - 9 SW,,
nndz-WkMrL3hiL3g%3D,Glen Ellyn II,9,Glen Ellyn II - 9 SW,,
nndz-WkNTNXdMajk%3D,Hinsdale PC I,9,Hinsdale PC I - 9 SW,,
nndz-WkNTNXc3M3g%3D,Hinsdale PC II,9,Hinsdale PC II - 9 SW,,
nndz-WkNDOXg3Yjc%3D,Oak Park CC,9,Oak Park CC - 9 SW,,
nndz-WkM2L3dMejg%3D,Ruth Lake,9,Ruth Lake - 9 SW,,
nndz-WkNLd3c3Nzc%3D,Evanston,10,Evanston - 10,,
nndz-WkNld3liZjU%3D,Exmoor,10,Exmoor - 10,,
nndz-WkMrL3dyZnc%3D,Knollwood,10,Knollwood - 10,,
nndz-WkNLd3c3NzQ%3D,Midtown - Chicago,10,Midtown - Chicago - 10,,
nndz-WkNld3liYis%3D,Prairie Club I,10,Prairie Club I - 10,,
nndz-WkNDOXhyejc%3D,Prairie Club II,10,Prairie Club II - 10,,
nndz-WkNLd3dMZnc%3D,Westmoreland,10,Westmoreland - 10,,
nndz-WkNTNXdiLzg%3D,Wilmette PD I,10,Wilmette PD I - 10,,
nndz-WkNPOHhyajc%3D,Wilmette PD II,10,Wilmette PD II - 10,,
nndz-WkNld3lianc%3D,Winnetka,10,Winnetka - 10,,
nndz-WkNLd3dMYnc%3D,Birchwood,11,Birchwood - 11,,
nndz-WkMrL3hiNzQ%3D,Lifesport-Lshire,11,Lifesport-Lshire - 11,,
nndz-WkNLd3dMZng%3D,Prairie Club,11,Prairie Club - 11,,
nndz-WkNld3liMzY%3D,Valley Lo,11,Valley Lo - 11,,
nndz-WkNld3lMcis%3D,Wilmette PD I,11,Wilmette PD I - 11,,
nndz-WkNld3lMai8%3D,Wilmette PD II,11,Wilmette PD II - 11,,
nndz-WkNDOXhyNzY%3D,Winnetka,11,Winnetka - 11,,
nndz-WkNLd3c3Nzk%3D,Winter Club,11,Winter Club - 11,,
nndz-WkNTNXdMZnc%3D,Glen Ellyn,11,Glen Ellyn - 11 SW,,
nndz-WkNPOHhyang%3D,Glen Oak,11,Glen Oak - 11 SW,,
nndz-WkNTNXc3bjg%3D,Hinsdale GC,11,Hinsdale GC - 11 SW,,
nndz-WkNTNXc3bjQ%3D,Hinsdale PC I,11,Hinsdale PC I - 11 SW,,
nndz-WkNTNXc3M3c%3D,Hinsdale PC II,11,Hinsdale PC II - 11 SW,,
nndz-WkNTNXc3djQ%3D,LaGrange CC,11,LaGrange CC - 11 SW,,
nndz-WkNTNXc3Ny8%3D,River Forest PD I,11,River Forest PD I - 11 SW,,
nndz-WkNTNXc3cjY%3D,River Forest PD II,11,River Forest PD II - 11 SW,,
nndz-WkNld3liZng%3D,Barrington Hills CC,12,Barrington Hills CC - 12,,
nndz-WkNld3lMNy8%3D,Briarwood,12,Briarwood - 12,,
nndz-WkNld3libjQ%3D,Hawthorn Woods,12,Hawthorn Woods - 12,,
nndz-WkNPOHhybjg%3D,Inverness,12,Inverness - 12,,
nndz-WkNld3liajk%3D,Knollwood,12,Knollwood - 12,,
nndz-WkNld3lMcjc%3D,Lakeshore S&amp;F,12,Lakeshore S&amp;F - 12,,
nndz-WkNld3lidnc%3D,North Shore,12,North Shore - 12,,
nndz-WkNld3libi8%3D,Skokie,12,Skokie - 12,,
nndz-WkNld3liYng%3D,South Barrington,12,South Barrington - 12,,
nndz-WkNld3liYnc%3D,Tennaqua,12,Tennaqua - 12,,
nndz-WkNTL3dyYjU%3D,Birchwood,13,Birchwood - 13,,
nndz-WkNld3lML3c%3D,Indian Hill,13,Indian Hill - 13,,
nndz-WkNld3liYjQ%3D,Lakeshore S&amp;F,13,Lakeshore S&amp;F - 13,,
nndz-WkMrL3hiNzY%3D,Lifesport-Lshire,13,Lifesport-Lshire - 13,,
nndz-WkNld3liYjc%3D,Michigan Shores,13,Michigan Shores - 13,,
nndz-WkNld3licjg%3D,Northmoor,13,Northmoor - 13,,
nndz-WkMrL3hiNzk%3D,Royal Melbourne,13,Royal Melbourne - 13,,
nndz-WkNld3libis%3D,Sunset Ridge,13,Sunset Ridge - 13,,
nndz-WkNld3liajU%3D,Valley Lo,13,Valley Lo - 13,,
nndz-WkNld3lMNzY%3D,Wilmette PD,13,Wilmette PD - 13,,
nndz-WkNld3liZi8%3D,Winnetka I,13,Winnetka I - 13,,
nndz-WkMrL3hiNzg%3D,Winnetka II,13,Winnetka II - 13,,
nndz-WkNTNXc3Nzg%3D,Edgewood Valley,13,Edgewood Valley - 13 SW,,
nndz-WkNTNXc3NzU%3D,Glen Ellyn,13,Glen Ellyn - 13 SW,,
nndz-WkNTNXc3Lzk%3D,Hinsdale GC,13,Hinsdale GC - 13 SW,,
nndz-WkNTNXc3NzY%3D,Hinsdale PC I,13,Hinsdale PC I - 13 SW,,
nndz-WkNPOHhybjU%3D,Hinsdale PC II,13,Hinsdale PC II - 13 SW,,
nndz-WkNTNXc3ejU%3D,LaGrange CC,13,LaGrange CC - 13 SW,,
nndz-WkNPOHhybjQ%3D,Medinah,13,Medinah - 13 SW,,
nndz-WkNTNXc3ais%3D,River Forest PD,13,River Forest PD - 13 SW,,
nndz-WkNTNXc3N3c%3D,Ruth Lake,13,Ruth Lake - 13 SW,,
nndz-WkNPOHliLzg%3D,White Eagle,13,White Eagle - 13 SW,,
nndz-WkNld3lML3g%3D,Evanston,14,Evanston - 14,,
nndz-WkNld3lidjU%3D,Lake Bluff,14,Lake Bluff - 14,,
nndz-WkNLd3c3NzY%3D,Lake Forest,14,Lake Forest - 14,,
nndz-WkNld3lMYnc%3D,Midtown - Chicago,14,Midtown - Chicago - 14,,
nndz-WkNld3liZjY%3D,Saddle &amp; Cycle,14,Saddle &amp; Cycle - 14,,
nndz-WkNld3liZjk%3D,Skokie,14,Skokie - 14,,
nndz-WkM2OHlMeng%3D,Tennaqua,14,Tennaqua - 14,,
nndz-WkNld3lMLzk%3D,Westmoreland,14,Westmoreland - 14,,
nndz-WkNld3lMLzg%3D,Winnetka I,14,Winnetka I - 14,,
nndz-WkMrL3hiNy8%3D,Winnetka II,14,Winnetka II - 14,,
nndz-WkM2OHlMMzU%3D,Exmoor,15,Exmoor - 15,,
nndz-WkNld3liajc%3D,Glen View,15,Glen View - 15,,
nndz-WkNDOXhyeis%3D,Glenbrook RC,15,Glenbrook RC - 15,,
nndz-WkNld3liZjc%3D,Lake Bluff,15,Lake Bluff - 15,,
nndz-WkMrL3hiNys%3D,Lifesport-Lshire,15,Lifesport-Lshire - 15,,
nndz-WkNld3liajg%3D,Michigan Shores,15,Michigan Shores - 15,,
nndz-WkNld3liai8%3D,Onwentsia,15,Onwentsia - 15,,
nndz-WkNld3lMbis%3D,Park Ridge CC,15,Park Ridge CC - 15,,
nndz-WkNld3liais%3D,Prairie Club I,15,Prairie Club I - 15,,
nndz-WkM2OHhybng%3D,Prairie Club II,15,Prairie Club II - 15,,
nndz-WkNTL3dyYjc%3D,Sunset Ridge,15,Sunset Ridge - 15,,
nndz-WkNld3liYjU%3D,Valley Lo,15,Valley Lo - 15,,
nndz-WkNTNXdMZng%3D,Chicago Highlands,15,Chicago Highlands - 15 SW,,
nndz-WkNLd3c3cjc%3D,Dunham Woods,15,Dunham Woods - 15 SW,,
nndz-WkNTNXc3cjk%3D,Glen Ellyn,15,Glen Ellyn - 15 SW,,
nndz-WkNDOXg3YjY%3D,Glen Oak,15,Glen Oak - 15 SW,,
nndz-WkNDOXg3Zjk%3D,Hinsdale GC,15,Hinsdale GC - 15 SW,,
nndz-WkNTNXc3Nzc%3D,Hinsdale PC I,15,Hinsdale PC I - 15 SW,,
nndz-WkNTNXc3Lzg%3D,Hinsdale PC II,15,Hinsdale PC II - 15 SW,,
nndz-WkNTNXc3djY%3D,LaGrange CC,15,LaGrange CC - 15 SW,,
nndz-WkNLd3c3cjY%3D,Medinah,15,Medinah - 15 SW,,
nndz-WkM2L3dMei8%3D,Oak Park CC,15,Oak Park CC - 15 SW,,
nndz-WkNTNXc3ejg%3D,Ruth Lake,15,Ruth Lake - 15 SW,,
nndz-WkNTNXc3cjc%3D,Salt Creek,15,Salt Creek - 15 SW,,
nndz-WkNLd3dyYjY%3D,Briarwood,16,Briarwood - 16,,
nndz-WkNDOXhyMzQ%3D,Knollwood,16,Knollwood - 16,,
nndz-WkNLd3c3Nzg%3D,Lake Forest,16,Lake Forest - 16,,
nndz-WkNld3liYjY%3D,North Shore,16,North Shore - 16,,
nndz-WkNDOXhyejg%3D,South Barrington,16,South Barrington - 16,,
nndz-WkNPOHhyajQ%3D,Tennaqua,16,Tennaqua - 16,,
nndz-WkNld3lMLzY%3D,Valley Lo,16,Valley Lo - 16,,
nndz-WkNDOXhyejY%3D,Westmoreland,16,Westmoreland - 16,,
nndz-WkNTL3dybjk%3D,Wilmette PD,16,Wilmette PD - 16,,
nndz-WkMrL3hiN3g%3D,Winnetka,16,Winnetka - 16,,
nndz-WkNld3lMMzg%3D,Birchwood,17,Birchwood - 17,,
nndz-WkNDOXhyNzk%3D,Lake Bluff,17,Lake Bluff - 17,,
nndz-WkNPOHhyajY%3D,Lakeshore S&amp;F,17,Lakeshore S&amp;F - 17,,
nndz-WkNld3lMejk%3D,Prairie Club I,17,Prairie Club I - 17,,
nndz-WkNDOXhycjk%3D,Prairie Club II,17,Prairie Club II - 17,,
nndz-WkNld3lMLzc%3D,Sunset Ridge,17,Sunset Ridge - 17,,
nndz-WkNld3lMMzk%3D,Valley Lo,17,Valley Lo - 17,,
nndz-WkNTL3hiNy8%3D,Wilmette PD,17,Wilmette PD - 17,,
nndz-WkNld3lMeis%3D,Winnetka,17,Winnetka - 17,,
nndz-WkNld3liYi8%3D,Winter Club,17,Winter Club - 17,,
nndz-WkNTNXc3N3g%3D,Butterfield,17,Butterfield - 17 SW,,
nndz-WkNTL3hiNzQ%3D,Chicago Highlands,17,Chicago Highlands - 17 SW,,
nndz-WkNPOHliNzc%3D,Edgewood Valley,17,Edgewood Valley - 17 SW,,
nndz-WkNTNXc3Lzc%3D,Glen Ellyn,17,Glen Ellyn - 17 SW,,
nndz-WkNPOHliNzU%3D,Glen Oak,17,Glen Oak - 17 SW,,
nndz-WkM2L3dMeng%3D,Hinsdale PC I,17,Hinsdale PC I - 17 SW,,
nndz-WkNTNXc3Ly8%3D,Hinsdale PC II,17,Hinsdale PC II - 17 SW,,
nndz-WkNTNXc3L3c%3D,River Forest PD,17,River Forest PD - 17 SW,,
nndz-WkNTNXc3cjQ%3D,Salt Creek I,17,Salt Creek I - 17 SW,,
nndz-WkNTNXc3Nys%3D,Salt Creek II,17,Salt Creek II - 17 SW,,
nndz-WkNld3lMajQ%3D,Evanston,18,Evanston - 18,,
nndz-WkNLd3c3LzU%3D,Glenbrook RC,18,Glenbrook RC - 18,,
nndz-WkNLd3c3Ny8%3D,Midt-Bannockburn,18,Midt-Bannockburn - 18,,
nndz-WkNTNXdiNzc%3D,Midtown - Chicago,18,Midtown - Chicago - 18,,
nndz-WkNld3lMejQ%3D,North Shore,18,North Shore - 18,,
nndz-WkNld3lMLzQ%3D,Skokie,18,Skokie - 18,,
nndz-WkNld3lMei8%3D,Tennaqua,18,Tennaqua - 18,,
nndz-WkNld3lMZng%3D,Wilmette PD,18,Wilmette PD - 18,,
nndz-WkNLd3c3Nys%3D,Winnetka,18,Winnetka - 18,,
nndz-WkNDOXhyeng%3D,Winter Club,18,Winter Club - 18,,
nndz-WkNld3lMdjU%3D,Birchwood,19,Birchwood - 19,,
nndz-WkNDOXhyejk%3D,Bryn Mawr,19,Bryn Mawr - 19,,
nndz-WkNTL3dyYjk%3D,Hawthorn Woods,19,Hawthorn Woods - 19,,
nndz-WkNPOHhydng%3D,Lake Shore CC,19,Lake Shore CC - 19,,
nndz-WkNld3lMejU%3D,Michigan Shores,19,Michigan Shores - 19,,
nndz-WkNld3lMdjg%3D,Prairie Club,19,Prairie Club - 19,,
nndz-WkNld3lMcjg%3D,Skokie,19,Skokie - 19,,
nndz-WkNld3lMM3c%3D,Sunset Ridge,19,Sunset Ridge - 19,,
nndz-WkNTL3dyZjc%3D,Wilmette PD,19,Wilmette PD - 19,,
nndz-WkNLd3c3N3c%3D,Winnetka,19,Winnetka - 19,,
nndz-WkNTNXc3enc%3D,Dunham Woods,19,Dunham Woods - 19 SW,,
nndz-WkNPOHliLzc%3D,Glen Ellyn,19,Glen Ellyn - 19 SW,,
nndz-WkNPOHhyZng%3D,Hinsdale GC,19,Hinsdale GC - 19 SW,,
nndz-WkNTNXc3MzQ%3D,Hinsdale PC,19,Hinsdale PC - 19 SW,,
nndz-WkNTNXc3Mzc%3D,LaGrange CC,19,LaGrange CC - 19 SW,,
nndz-WkNTNXdMZjk%3D,Medinah,19,Medinah - 19 SW,,
nndz-WkNDOXg3Yjk%3D,Oak Park CC,19,Oak Park CC - 19 SW,,
nndz-WkNDOXg3Yi8%3D,River Forest CC,19,River Forest CC - 19 SW,,
nndz-WkNTNXc3Mzk%3D,River Forest PD,19,River Forest PD - 19 SW,,
nndz-WkNTNXc3L3g%3D,Ruth Lake,19,Ruth Lake - 19 SW,,
nndz-WkNLd3c3Lzg%3D,Evanston,20,Evanston - 20,,
nndz-WkNld3lMNys%3D,Exmoor,20,Exmoor - 20,,
nndz-WkNld3lMenc%3D,Indian Hill,20,Indian Hill - 20,,
nndz-WkNPOHhyajg%3D,Lake Forest,20,Lake Forest - 20,,
nndz-WkNld3lMMzQ%3D,Michigan Shores,20,Michigan Shores - 20,,
nndz-WkNld3lMbjY%3D,Tennaqua,20,Tennaqua - 20,,
nndz-WkNDOXhyMzU%3D,Valley Lo,20,Valley Lo - 20,,
nndz-WkNld3lMNzc%3D,Westmoreland,20,Westmoreland - 20,,
nndz-WkNDOXhyei8%3D,Biltmore CC,21,Biltmore CC - 21,,
nndz-WkNld3lMN3g%3D,Knollwood,21,Knollwood - 21,,
nndz-WkNld3lMdjc%3D,Lake Bluff,21,Lake Bluff - 21,,
nndz-WkNTNXdieng%3D,Park Ridge CC,21,Park Ridge CC - 21,,
nndz-WkNLd3c3ajY%3D,Prairie Club,21,Prairie Club - 21,,
nndz-WkNTL3dyYjg%3D,Skokie,21,Skokie - 21,,
nndz-WkNld3lMdi8%3D,Sunset Ridge,21,Sunset Ridge - 21,,
nndz-WkNld3lMYis%3D,Wilmette PD I,21,Wilmette PD I - 21,,
nndz-WkNTNXdiNzg%3D,Wilmette PD II,21,Wilmette PD II - 21,,
nndz-WkMrL3hiLzc%3D,Winnetka,21,Winnetka - 21,,
nndz-WkNTNXc3LzU%3D,Butterfield,21,Butterfield - 21 SW,,
nndz-WkNDOXg3Yjg%3D,Edgewood Valley,21,Edgewood Valley - 21 SW,,
nndz-WkNLd3c3cnc%3D,Glen Ellyn,21,Glen Ellyn - 21 SW,,
nndz-WkNPOHliNzY%3D,Glen Oak,21,Glen Oak - 21 SW,,
nndz-WkNTNXc3ejc%3D,Hinsdale GC,21,Hinsdale GC - 21 SW,,
nndz-WkNTNXc3ci8%3D,Hinsdale PC,21,Hinsdale PC - 21 SW,,
nndz-WkNTNXc3MzY%3D,LaGrange CC,21,LaGrange CC - 21 SW,,
nndz-WkNPOHliNzQ%3D,Medinah I,21,Medinah I - 21 SW,,
nndz-WkNDOXg3Zjg%3D,Medinah II,21,Medinah II - 21 SW,,
nndz-WkNTNXdMYnc%3D,Ruth Lake,21,Ruth Lake - 21 SW,,
nndz-WkNTNXc3cnc%3D,Salt Creek,21,Salt Creek - 21 SW,,
nndz-WkNDOXg3Yis%3D,White Eagle,21,White Eagle - 21 SW,,
nndz-WkNld3lMbjg%3D,Barrington Hills CC,22,Barrington Hills CC - 22,,
nndz-WkNDOXhyMzY%3D,Inverness,22,Inverness - 22,,
nndz-WkNTNXdiL3c%3D,Lakeshore S&amp;F,22,Lakeshore S&amp;F - 22,,
nndz-WkMrL3hiLy8%3D,Lifesport-Lshire,22,Lifesport-Lshire - 22,,
nndz-WkNDOXhybjU%3D,Midtown - Chicago,22,Midtown - Chicago - 22,,
nndz-WkNld3lMcjk%3D,North Shore,22,North Shore - 22,,
nndz-WkNld3lMNzQ%3D,Tennaqua,22,Tennaqua - 22,,
nndz-WkNld3lMdis%3D,Valley Lo,22,Valley Lo - 22,,
nndz-WkMrL3hiLys%3D,Winnetka I,22,Winnetka I - 22,,
nndz-WkNDOXhycjY%3D,Winnetka II,22,Winnetka II - 22,,
nndz-WkNDOXhyM3c%3D,Biltmore CC,23,Biltmore CC - 23,,
nndz-WkNld3lMajU%3D,Briarwood,23,Briarwood - 23,,
nndz-WkMrK3dicis%3D,BYE,23,BYE - 23,,
nndz-WkNTNXdiLzQ%3D,Knollwood,23,Knollwood - 23,,
nndz-WkNld3lMMzU%3D,Lake Shore CC,23,Lake Shore CC - 23,,
nndz-WkM2OHlMM3g%3D,Prairie Club,23,Prairie Club - 23,,
nndz-WkNld3lMYjk%3D,Skokie,23,Skokie - 23,,
nndz-WkMrL3hidng%3D,South Barrington,23,South Barrington - 23,,
nndz-WkNld3liZis%3D,Wilmette PD,23,Wilmette PD - 23,,
nndz-WkNld3lMdng%3D,Winter Club,23,Winter Club - 23,,
nndz-WkNTNXdMZjQ%3D,BYE,23,BYE - 23 SW,,
nndz-WkNPOHhyZnc%3D,Chicago Highlands,23,Chicago Highlands - 23 SW,,
nndz-WkNTNXc3ejk%3D,Glen Ellyn,23,Glen Ellyn - 23 SW,,
nndz-WkNPOHliLzk%3D,Glen Oak,23,Glen Oak - 23 SW,,
nndz-WkNTNXdMYis%3D,Hinsdale GC,23,Hinsdale GC - 23 SW,,
nndz-WkNTNXc3cis%3D,Hinsdale PC,23,Hinsdale PC - 23 SW,,
nndz-WkNTNXdMZjU%3D,LaGrange CC,23,LaGrange CC - 23 SW,,
nndz-WkM2L3dMM3c%3D,Oak Park CC,23,Oak Park CC - 23 SW,,
nndz-WkNTL3hiNzY%3D,River Forest PD,23,River Forest PD - 23 SW,,
nndz-WkNTNXc3cng%3D,Salt Creek I,23,Salt Creek I - 23 SW,,
nndz-WkNTNXc3ejY%3D,Salt Creek II,23,Salt Creek II - 23 SW,,
nndz-WkNDOXg3ZjY%3D,White Eagle,23,White Eagle - 23 SW,,
nndz-WkNld3lMZnc%3D,Birchwood,24,Birchwood - 24,,
nndz-WkNld3lMbjU%3D,Exmoor,24,Exmoor - 24,,
nndz-WkNld3lMeng%3D,Glen View,24,Glen View - 24,,
nndz-WkNLd3c3LzQ%3D,Lake Forest,24,Lake Forest - 24,,
nndz-WkNTNXdiNzQ%3D,Michigan Shores,24,Michigan Shores - 24,,
nndz-WkNTNXdicjQ%3D,Park Ridge CC,24,Park Ridge CC - 24,,
nndz-WkNDOXhyajk%3D,Tennaqua,24,Tennaqua - 24,,
nndz-WkNDOXhyMzk%3D,Valley Lo,24,Valley Lo - 24,,
nndz-WkNTL3dyYnc%3D,Winnetka,24,Winnetka - 24,,
nndz-WkNTNXdiMy8%3D,Winter Club,24,Winter Club - 24,,
nndz-WkNPOHhyZjU%3D,Evanston,25,Evanston - 25,,
nndz-WkNld3lMZjQ%3D,Indian Hill,25,Indian Hill - 25,,
nndz-WkNLd3c3N3g%3D,Lake Bluff,25,Lake Bluff - 25,,
nndz-WkNLd3c3Lzc%3D,Midt-Bannockburn,25,Midt-Bannockburn - 25,,
nndz-WkNld3lMdjk%3D,Onwentsia,25,Onwentsia - 25,,
nndz-WkNLd3c3Mys%3D,Park Ridge CC,25,Park Ridge CC - 25,,
nndz-WkNTNXdieis%3D,Prairie Club,25,Prairie Club - 25,,
nndz-WkM2OHlMM3c%3D,Skokie,25,Skokie - 25,,
nndz-WkNTNXdiei8%3D,South Barrington,25,South Barrington - 25,,
nndz-WkNld3lMZjg%3D,Westmoreland,25,Westmoreland - 25,,
nndz-WkNld3lMejg%3D,Wilmette PD,25,Wilmette PD - 25,,
nndz-WkNDOXhybjc%3D,Winnetka,25,Winnetka - 25,,
nndz-WkNTNXc3ei8%3D,Butterfield,25,Butterfield - 25 SW,,
